traffic,timestamp,data,time,interval
6.40194,1727838300,2024-10-02,11:05:00,+300
6.741014,1727838600,2024-10-02,11:10:00,+300
6.556721,1727838900,2024-10-02,11:15:00,+300
6.825969,1727839200,2024-10-02,11:20:00,+300
6.860185,1727839500,2024-10-02,11:25:00,+300
6.922658,1727839800,2024-10-02,11:30:00,+300
6.863384,1727840100,2024-10-02,11:35:00,+300
6.990389,1727840400,2024-10-02,11:40:00,+300
7.053745,1727840700,2024-10-02,11:45:00,+300
6.926539,1727841000,2024-10-02,11:50:00,+300
7.086848,1727841300,2024-10-02,11:55:00,+300
7.024966,1727841600,2024-10-02,12:00:00,+300
7.220737,1727841900,2024-10-02,12:05:00,+300
7.21468,1727842200,2024-10-02,12:10:00,+300
7.297478,1727842500,2024-10-02,12:15:00,+300
6.807004,1727842800,2024-10-02,12:20:00,+300
7.048244,1727843100,2024-10-02,12:25:00,+300
7.217195,1727843400,2024-10-02,12:30:00,+300
7.35106,1727843700,2024-10-02,12:35:00,+300
7.426994,1727844000,2024-10-02,12:40:00,+300
7.443841,1727844300,2024-10-02,12:45:00,+300
7.559616,1727844600,2024-10-02,12:50:00,+300
7.567186,1727844900,2024-10-02,12:55:00,+300
7.58147,1727845200,2024-10-02,13:00:00,+300
7.518095,1727845500,2024-10-02,13:05:00,+300
7.448678,1727845800,2024-10-02,13:10:00,+300
7.576321,1727846100,2024-10-02,13:15:00,+300
7.688458,1727846400,2024-10-02,13:20:00,+300
7.663969,1727846700,2024-10-02,13:25:00,+300
8.04147,1727847000,2024-10-02,13:30:00,+300
7.878014,1727847300,2024-10-02,13:35:00,+300
10.742173,1727847600,2024-10-02,13:40:00,+300
10.842222,1727847900,2024-10-02,13:45:00,+300
10.48703,1727848200,2024-10-02,13:50:00,+300
10.570075,1727848500,2024-10-02,13:55:00,+300
10.790619,1727848800,2024-10-02,14:00:00,+300
10.963461,1727849100,2024-10-02,14:05:00,+300
10.599552,1727849400,2024-10-02,14:10:00,+300
10.77358,1727849700,2024-10-02,14:15:00,+300
10.683928,1727850000,2024-10-02,14:20:00,+300
10.823502,1727850300,2024-10-02,14:25:00,+300
10.625832,1727850600,2024-10-02,14:30:00,+300
10.758044,1727850900,2024-10-02,14:35:00,+300
11.01664,1727851200,2024-10-02,14:40:00,+300
10.962144,1727851500,2024-10-02,14:45:00,+300
11.037191,1727851800,2024-10-02,14:50:00,+300
10.947205,1727852100,2024-10-02,14:55:00,+300
11.112494,1727852400,2024-10-02,15:00:00,+300
11.19804,1727852700,2024-10-02,15:05:00,+300
11.406802,1727853000,2024-10-02,15:10:00,+300
11.317284,1727853300,2024-10-02,15:15:00,+300
11.361276,1727853600,2024-10-02,15:20:00,+300
11.216593,1727853900,2024-10-02,15:25:00,+300
11.282993,1727854200,2024-10-02,15:30:00,+300
11.318034,1727854500,2024-10-02,15:35:00,+300
11.444311,1727854800,2024-10-02,15:40:00,+300
11.06693,1727855100,2024-10-02,15:45:00,+300
11.013993,1727855400,2024-10-02,15:50:00,+300
11.103471,1727855700,2024-10-02,15:55:00,+300
11.1009,1727856000,2024-10-02,16:00:00,+300
10.903016,1727856300,2024-10-02,16:05:00,+300
10.685784,1727856600,2024-10-02,16:10:00,+300
10.524897,1727856900,2024-10-02,16:15:00,+300
10.561199,1727857200,2024-10-02,16:20:00,+300
10.878186,1727857500,2024-10-02,16:25:00,+300
11.101511,1727857800,2024-10-02,16:30:00,+300
10.664507,1727858100,2024-10-02,16:35:00,+300
10.341125,1727858400,2024-10-02,16:40:00,+300
10.367057,1727858700,2024-10-02,16:45:00,+300
10.363432,1727859000,2024-10-02,16:50:00,+300
10.50514,1727859300,2024-10-02,16:55:00,+300
10.384833,1727859600,2024-10-02,17:00:00,+300
10.005633,1727859900,2024-10-02,17:05:00,+300
10.232512,1727860200,2024-10-02,17:10:00,+300
10.309723,1727860500,2024-10-02,17:15:00,+300
10.139189,1727860800,2024-10-02,17:20:00,+300
10.230859,1727861100,2024-10-02,17:25:00,+300
10.463023,1727861400,2024-10-02,17:30:00,+300
10.506569,1727861700,2024-10-02,17:35:00,+300
10.168984,1727862000,2024-10-02,17:40:00,+300
10.475515,1727862300,2024-10-02,17:45:00,+300
10.298102,1727862600,2024-10-02,17:50:00,+300
10.393406,1727862900,2024-10-02,17:55:00,+300
10.441756,1727863200,2024-10-02,18:00:00,+300
10.690658,1727863500,2024-10-02,18:05:00,+300
10.261685,1727863800,2024-10-02,18:10:00,+300
10.492259,1727864100,2024-10-02,18:15:00,+300
10.998574,1727864400,2024-10-02,18:20:00,+300
10.511805,1727864700,2024-10-02,18:25:00,+300
10.829291,1727865000,2024-10-02,18:30:00,+300
11.019658,1727865300,2024-10-02,18:35:00,+300
10.917998,1727865600,2024-10-02,18:40:00,+300
10.63882,1727865900,2024-10-02,18:45:00,+300
10.892267,1727866200,2024-10-02,18:50:00,+300
10.568806,1727866500,2024-10-02,18:55:00,+300
10.68136,1727866800,2024-10-02,19:00:00,+300
10.687173,1727867100,2024-10-02,19:05:00,+300
11.000813,1727867400,2024-10-02,19:10:00,+300
11.527371,1727867700,2024-10-02,19:15:00,+300
11.801105,1727868000,2024-10-02,19:20:00,+300
11.908338,1727868300,2024-10-02,19:25:00,+300
12.248055,1727868600,2024-10-02,19:30:00,+300
12.408505,1727868900,2024-10-02,19:35:00,+300
9.876799,1727869200,2024-10-02,19:40:00,+300
9.881289,1727869500,2024-10-02,19:45:00,+300
9.992487,1727869800,2024-10-02,19:50:00,+300
9.907285,1727870100,2024-10-02,19:55:00,+300
10.104311,1727870400,2024-10-02,20:00:00,+300
10.724027,1727870700,2024-10-02,20:05:00,+300
10.722396,1727871000,2024-10-02,20:10:00,+300
10.881899,1727871300,2024-10-02,20:15:00,+300
11.245749,1727871600,2024-10-02,20:20:00,+300
11.517166,1727871900,2024-10-02,20:25:00,+300
11.709686,1727872200,2024-10-02,20:30:00,+300
12.000083,1727872500,2024-10-02,20:35:00,+300
12.524214,1727872800,2024-10-02,20:40:00,+300
12.725751,1727873100,2024-10-02,20:45:00,+300
13.658368,1727873400,2024-10-02,20:50:00,+300
13.85893,1727873700,2024-10-02,20:55:00,+300
13.963448,1727874000,2024-10-02,21:00:00,+300
13.899968,1727874300,2024-10-02,21:05:00,+300
14.878209,1727874600,2024-10-02,21:10:00,+300
14.626947,1727874900,2024-10-02,21:15:00,+300
15.256884,1727875200,2024-10-02,21:20:00,+300
15.823956,1727875500,2024-10-02,21:25:00,+300
16.098588,1727875800,2024-10-02,21:30:00,+300
16.308376,1727876100,2024-10-02,21:35:00,+300
15.537686,1727876400,2024-10-02,21:40:00,+300
16.073495,1727876700,2024-10-02,21:45:00,+300
16.951513,1727877000,2024-10-02,21:50:00,+300
16.719144,1727877300,2024-10-02,21:55:00,+300
16.516259,1727877600,2024-10-02,22:00:00,+300
16.62444,1727877900,2024-10-02,22:05:00,+300
16.824626,1727878200,2024-10-02,22:10:00,+300
17.190795,1727878500,2024-10-02,22:15:00,+300
16.170488,1727878800,2024-10-02,22:20:00,+300
16.402582,1727879100,2024-10-02,22:25:00,+300
15.978233,1727879400,2024-10-02,22:30:00,+300
16.725222,1727879700,2024-10-02,22:35:00,+300
16.53891,1727880000,2024-10-02,22:40:00,+300
17.072784,1727880300,2024-10-02,22:45:00,+300
16.839022,1727880600,2024-10-02,22:50:00,+300
16.742541,1727880900,2024-10-02,22:55:00,+300
16.343999,1727881200,2024-10-02,23:00:00,+300
16.840893,1727881500,2024-10-02,23:05:00,+300
16.740887,1727881800,2024-10-02,23:10:00,+300
17.441504,1727882100,2024-10-02,23:15:00,+300
17.741603,1727882400,2024-10-02,23:20:00,+300
17.74184,1727882700,2024-10-02,23:25:00,+300
18.581401,1727883000,2024-10-02,23:30:00,+300
17.838069,1727883300,2024-10-02,23:35:00,+300
17.976503,1727883600,2024-10-02,23:40:00,+300
17.731002,1727883900,2024-10-02,23:45:00,+300
17.529945,1727884200,2024-10-02,23:50:00,+300
16.998268,1727884500,2024-10-02,23:55:00,+300
16.628207,1727884800,2024-10-03,00:00:00,+300
16.819107,1727885100,2024-10-03,00:05:00,+300
16.699311,1727885400,2024-10-03,00:10:00,+300
17.092754,1727885700,2024-10-03,00:15:00,+300
17.721146,1727886000,2024-10-03,00:20:00,+300
17.634756,1727886300,2024-10-03,00:25:00,+300
17.577939,1727886600,2024-10-03,00:30:00,+300
16.998006,1727886900,2024-10-03,00:35:00,+300
16.717855,1727887200,2024-10-03,00:40:00,+300
16.829675,1727887500,2024-10-03,00:45:00,+300
16.2966,1727887800,2024-10-03,00:50:00,+300
16.172184,1727888100,2024-10-03,00:55:00,+300
15.442079,1727888400,2024-10-03,01:00:00,+300
15.423177,1727888700,2024-10-03,01:05:00,+300
15.020141,1727889000,2024-10-03,01:10:00,+300
15.04474,1727889300,2024-10-03,01:15:00,+300
14.444674,1727889600,2024-10-03,01:20:00,+300
14.096015,1727889900,2024-10-03,01:25:00,+300
13.637203,1727890200,2024-10-03,01:30:00,+300
13.232492,1727890500,2024-10-03,01:35:00,+300
12.794378,1727890800,2024-10-03,01:40:00,+300
12.877293,1727891100,2024-10-03,01:45:00,+300
12.564473,1727891400,2024-10-03,01:50:00,+300
12.424376,1727891700,2024-10-03,01:55:00,+300
12.699297,1727892000,2024-10-03,02:00:00,+300
11.679827,1727892300,2024-10-03,02:05:00,+300
11.765354,1727892600,2024-10-03,02:10:00,+300
